YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN
2020,1,2,0,25.86,18.81,22.33,13.43,65.06,0.0,101.49,4.79,43.61,7.69,43.56,0.0
2020,1,2,1,25.02,18.76,21.89,13.37,68.12,0.0,101.45,4.19,40.84,7.02,40.76,0.0
2020,1,2,2,24.3,18.77,21.54,13.37,71.19,0.0,101.41,3.74,37.71,6.56,37.46,0.0
2020,1,2,3,23.8,18.87,21.33,13.43,73.75,0.0,101.4,3.48,33.37,6.26,33.19,0.0
2020,1,2,4,23.44,18.99,21.22,13.55,75.94,0.0,101.42,3.51,30.16,6.18,30.23,0.0
2020,1,2,5,23.15,19.16,21.15,13.73,78.19,0.0,101.45,3.53,27.25,6.11,27.38,0.0
2020,1,2,6,23.22,19.36,21.29,13.85,78.81,0.0,101.51,3.82,24.41,5.91,24.77,20.98
2020,1,2,7,25.21,19.57,22.39,14.04,70.81,0.0,101.59,4.97,33.59,6.31,37.2,201.66
2020,1,2,8,28.35,19.44,23.9,13.92,58.44,0.0,101.64,6.1,52.75,7.48,54.95,430.44
2020,1,2,9,31.21,18.94,25.08,13.49,48.06,0.0,101.62,5.86,62.55,6.99,64.09,626.62
2020,1,2,10,33.31,18.52,25.91,13.12,41.56,0.0,101.55,5.37,67.39,6.38,68.59,777.12
2020,1,2,11,34.82,18.21,26.51,12.94,37.5,0.0,101.43,5.08,69.87,6.07,70.75,851.73
2020,1,2,12,35.88,17.85,26.87,12.63,34.56,0.0,101.27,4.83,70.33,5.76,71.07,839.74
2020,1,2,13,36.53,17.46,27.0,12.33,32.56,0.0,101.12,4.66,70.2,5.55,70.77,733.62
2020,1,2,14,36.65,17.17,26.91,12.15,31.75,0.0,101.03,4.59,69.9,5.49,70.38,590.66
2020,1,2,15,36.13,17.01,26.57,12.02,32.31,0.0,101.0,4.64,68.88,5.62,69.15,407.12
2020,1,2,16,34.83,17.33,26.08,12.27,35.44,0.0,101.03,4.33,66.3,5.61,66.72,201.84
2020,1,2,17,32.17,19.06,25.62,13.73,46.0,0.0,101.08,3.01,62.3,5.68,62.94,32.16
2020,1,2,18,30.73,19.69,25.2,14.22,51.88,0.0,101.17,3.28,56.76,6.26,57.54,0.0
2020,1,2,19,30.08,20.16,25.12,14.65,55.38,0.0,101.28,3.92,50.91,6.8,52.09,0.0
2020,1,2,20,29.38,20.82,25.1,15.2,59.94,0.0,101.37,4.4,46.3,7.34,47.29,0.0
2020,1,2,21,28.73,21.4,25.06,15.75,64.5,0.0,101.41,4.68,42.56,7.45,42.96,0.0
2020,1,2,22,28.19,21.61,24.9,15.99,67.44,0.0,101.42,4.79,40.57,7.41,40.59,0.0
2020,1,2,23,27.72,21.48,24.59,15.81,68.75,0.0,101.42,4.95,43.08,7.54,43.32,0.0
2020,1,3,0,27.17,21.05,24.11,15.44,69.19,0.0,101.4,5.15,48.26,7.72,48.61,0.0
2020,1,3,1,26.53,20.54,23.54,14.95,69.56,0.0,101.36,5.17,50.95,7.63,51.32,0.0
2020,1,3,2,25.89,20.14,23.01,14.59,70.5,0.0,101.32,5.12,51.57,7.4,52.08,0.0
2020,1,3,3,25.33,19.89,22.62,14.34,71.69,0.0,101.31,5.06,51.84,7.22,52.47,0.0
2020,1,3,4,24.89,19.79,22.33,14.28,73.19,0.0,101.32,4.46,49.62,6.55,50.33,0.0
2020,1,3,5,24.51,19.8,22.15,14.28,74.88,0.0,101.35,3.86,43.85,5.88,44.3,0.0
2020,1,3,6,24.29,19.83,22.06,14.28,76.06,0.0,101.4,3.56,35.61,5.49,36.72,20.07
2020,1,3,7,26.1,19.62,22.87,14.1,67.44,0.0,101.47,4.68,39.38,5.84,42.07,170.71
2020,1,3,8,28.78,19.32,24.05,13.85,56.62,0.0,101.53,5.14,51.3,6.16,53.41,335.43
2020,1,3,9,31.39,18.97,25.18,13.55,47.62,0.0,101.52,4.78,60.21,5.57,61.53,503.77
2020,1,3,10,33.46,18.66,26.06,13.31,41.62,0.0,101.46,4.32,66.58,5.01,67.35,608.97
2020,1,3,11,34.94,18.44,26.69,13.12,37.81,0.0,101.34,3.99,71.88,4.65,72.11,686.95
2020,1,3,12,35.83,18.18,27.01,12.94,35.38,0.0,101.19,3.75,76.25,4.38,76.06,681.35
2020,1,3,13,36.16,17.97,27.07,12.76,34.31,0.0,101.04,3.52,79.64,4.11,78.93,636.4
2020,1,3,14,35.83,17.8,26.82,12.63,34.56,0.0,100.95,3.47,83.53,4.05,82.12,526.53
2020,1,3,15,34.87,17.8,26.33,12.63,36.44,0.0,100.93,3.53,87.84,4.17,86.46,373.9
2020,1,3,16,33.5,18.45,25.98,13.18,41.0,0.0,100.96,3.03,88.08,4.1,88.91,183.16
2020,1,3,17,31.56,19.86,25.71,14.4,50.06,0.0,101.03,2.12,89.58,4.2,90.96,33.09
2020,1,3,18,30.39,20.11,25.25,14.65,54.31,0.0,101.11,2.24,87.41,4.63,88.55,0.0
2020,1,3,19,29.83,20.37,25.1,14.83,56.94,0.0,101.2,2.84,77.76,5.0,81.2,0.0
2020,1,3,20,29.14,20.72,24.93,15.14,60.5,0.0,101.26,3.25,69.43,5.35,72.23,0.0
2020,1,3,21,28.46,20.94,24.7,15.38,63.75,0.0,101.28,3.48,62.63,5.85,64.12,0.0
2020,1,3,22,27.84,20.83,24.33,15.26,65.62,0.0,101.28,3.85,60.47,6.42,60.94,0.0
2020,1,3,23,27.21,20.49,23.85,14.95,66.75,0.0,101.27,3.88,60.7,6.44,60.63,0.0
2020,1,4,0,26.4,20.07,23.23,14.53,68.19,0.0,101.24,3.8,60.17,6.35,59.87,0.0
2020,1,4,1,25.34,19.55,22.45,14.1,70.31,0.0,101.18,3.58,57.49,6.29,57.32,0.0
2020,1,4,2,24.34,18.98,21.66,13.61,72.06,0.0,101.15,3.61,54.35,6.37,54.23,0.0
2020,1,4,3,23.47,18.51,20.98,13.18,73.69,0.0,101.15,3.49,50.36,6.17,50.24,0.0
2020,1,4,4,22.65,18.21,20.43,12.94,76.0,0.0,101.17,3.01,43.95,5.69,44.0,0.0
2020,1,4,5,22.28,18.1,20.19,12.88,77.12,0.0,101.21,2.87,36.25,5.3,36.36,0.0
2020,1,4,6,22.22,18.05,20.14,12.82,77.19,0.0,101.27,3.0,28.63,4.96,28.91,15.86
2020,1,4,7,23.44,17.91,20.68,12.7,71.0,0.0,101.35,4.09,32.69,5.21,35.79,155.33
2020,1,4,8,25.67,17.55,21.62,12.39,60.81,0.0,101.4,4.76,48.12,5.68,50.42,358.24
2020,1,4,9,28.48,16.86,22.67,11.84,49.31,0.0,101.4,4.18,55.81,4.75,57.56,565.26
2020,1,4,10,31.19,15.78,23.49,11.05,39.38,0.0,101.33,3.49,61.26,3.87,62.35,739.8
2020,1,4,11,33.15,14.88,24.01,10.44,33.31,0.0,101.21,3.13,62.54,3.46,62.74,817.37
2020,1,4,12,34.42,14.33,24.38,10.13,30.0,0.0,101.05,2.96,62.83,3.27,62.52,819.16
2020,1,4,13,35.07,14.22,24.65,10.07,28.69,0.0,100.9,2.88,63.71,3.2,62.87,766.91
2020,1,4,14,35.17,14.21,24.69,10.07,28.5,0.0,100.82,2.93,62.89,3.29,61.79,642.24
2020,1,4,15,34.7,14.26,24.48,10.07,29.31,0.0,100.79,3.23,62.82,3.66,61.68,451.02
2020,1,4,16,33.55,14.56,24.05,10.31,31.94,0.0,100.83,3.63,63.93,4.31,63.16,229.5
2020,1,4,17,30.64,16.77,23.71,11.96,43.62,0.0,100.89,3.21,65.87,5.49,66.61,32.06
2020,1,4,18,28.71,17.24,22.98,12.21,50.0,0.0,100.98,4.01,64.83,6.93,65.92,0.0
2020,1,4,19,27.72,17.69,22.7,12.51,54.31,0.0,101.09,4.47,59.76,7.4,60.68,0.0
2020,1,4,20,26.89,18.08,22.49,12.82,58.5,0.0,101.18,4.58,52.76,7.41,52.97,0.0
2020,1,4,21,26.08,18.48,22.28,13.18,62.88,0.0,101.2,3.95,46.04,6.54,45.87,0.0
2020,1,4,22,25.38,18.73,22.05,13.37,66.56,0.0,101.2,3.35,41.12,5.96,40.64,0.0
2020,1,4,23,24.87,18.69,21.78,13.37,68.44,0.0,101.18,3.34,40.73,5.98,39.81,0.0
2020,1,5,0,24.37,18.49,21.43,13.18,69.75,0.0,101.14,3.49,42.91,6.13,41.74,0.0
2020,1,5,1,23.78,18.23,21.0,13.0,71.0,0.0,101.08,3.56,44.02,6.18,43.16,0.0
2020,1,5,2,23.11,17.96,20.53,12.76,72.75,0.0,101.05,3.45,42.61,6.05,42.12,0.0
2020,1,5,3,22.42,17.8,20.11,12.63,75.0,0.0,101.05,3.29,38.83,5.86,38.67,0.0
2020,1,5,4,21.75,17.74,19.74,12.57,77.88,0.0,101.08,2.89,32.96,5.46,32.92,0.0
2020,1,5,5,21.15,17.75,19.45,12.57,80.88,0.0,101.13,2.54,25.93,5.2,26.1,0.0
2020,1,5,6,21.21,17.78,19.5,12.57,80.69,0.0,101.22,3.01,20.64,5.12,21.31,19.58
2020,1,5,7,23.33,17.59,20.47,12.45,70.06,0.0,101.31,4.64,38.78,5.83,42.56,200.22
2020,1,5,8,25.96,17.16,21.56,12.08,58.25,0.0,101.38,5.14,59.11,6.12,60.72,434.12
2020,1,5,9,28.65,16.62,22.63,11.66,48.06,0.0,101.36,4.66,69.07,5.42,69.66,640.95
2020,1,5,10,31.01,16.08,23.55,11.29,40.69,0.0,101.29,4.28,70.94,4.93,70.56,792.2
2020,1,5,11,32.84,15.3,24.07,10.8,35.0,0.0,101.17,4.0,68.59,4.61,67.78,865.52
2020,1,5,12,34.17,14.46,24.31,10.25,30.75,0.0,101.02,3.75,65.89,4.34,64.86,875.92
2020,1,5,13,34.94,13.67,24.31,9.77,28.0,0.0,100.9,3.68,63.76,4.3,62.64,789.13
2020,1,5,14,35.19,12.95,24.08,9.28,26.31,0.0,100.83,3.76,63.43,4.43,62.35,671.78
2020,1,5,15,34.82,12.55,23.68,9.03,26.12,0.0,100.83,3.9,64.62,4.64,63.69,486.72
2020,1,5,16,33.58,12.91,23.25,9.22,28.62,0.0,100.87,3.76,65.03,4.78,64.52,256.98
2020,1,5,17,30.04,15.62,22.83,11.17,42.25,0.0,100.93,2.67,65.46,5.03,65.19,40.3
2020,1,5,18,27.97,15.83,21.9,11.23,47.88,0.0,101.02,3.0,62.77,5.84,62.51,0.0
2020,1,5,19,27.23,16.36,21.8,11.54,51.5,0.0,101.12,3.62,57.68,6.42,57.57,0.0
2020,1,5,20,26.37,16.98,21.68,11.96,56.25,0.0,101.2,3.61,50.7,6.37,50.37,0.0
2020,1,5,21,25.57,17.63,21.6,12.45,61.38,0.0,101.22,3.27,42.87,6.12,42.51,0.0
2020,1,5,22,24.88,18.05,21.46,12.82,65.69,0.0,101.23,2.96,38.47,5.94,38.44,0.0
2020,1,5,23,24.26,18.24,21.26,12.94,68.94,0.0,101.23,2.8,39.23,5.87,39.39,0.0
2020,1,6,0,23.72,18.31,21.01,13.0,71.62,0.0,101.22,2.8,42.85,5.89,42.8,0.0
2020,1,6,1,23.13,18.3,20.72,13.0,74.12,0.0,101.19,2.81,47.36,5.85,47.22,0.0
2020,1,6,2,22.47,18.26,20.36,13.0,76.94,0.0,101.17,2.78,51.39,5.71,51.22,0.0
2020,1,6,3,21.79,18.19,19.99,12.94,79.88,0.0,101.17,2.63,53.95,5.49,53.8,0.0
2020,1,6,4,21.15,18.16,19.65,12.88,82.88,0.0,101.18,2.36,53.89,5.06,54.05,0.0
2020,1,6,5,20.62,18.16,19.39,12.88,85.75,0.0,101.22,2.15,50.89,4.61,51.4,0.0
2020,1,6,6,20.8,18.25,19.52,12.94,85.25,0.0,101.28,2.26,46.97,4.19,47.42,19.52
2020,1,6,7,23.4,18.3,20.85,13.0,72.94,0.0,101.36,3.23,50.99,3.9,54.05,200.63
2020,1,6,8,26.99,18.06,22.53,12.82,58.0,0.0,101.4,2.72,65.57,3.04,68.77,435.84
2020,1,6,9,30.51,17.26,23.89,12.15,45.0,0.0,101.38,1.55,67.45,1.73,69.35,644.88
2020,1,6,10,33.01,16.19,24.6,11.35,36.5,0.0,101.31,1.28,62.65,1.48,65.06,794.98
2020,1,6,11,34.76,15.49,25.12,10.86,31.69,0.0,101.19,1.28,64.69,1.49,65.58,880.78
2020,1,6,12,35.88,14.91,25.4,10.5,28.69,0.0,101.02,1.35,69.68,1.57,69.04,888.55
2020,1,6,13,36.45,14.42,25.44,10.19,26.94,0.0,100.86,1.5,74.95,1.75,73.42,818.4
2020,1,6,14,36.54,14.08,25.31,10.01,26.25,0.0,100.77,1.75,79.7,2.02,77.52,681.1
2020,1,6,15,36.09,13.88,24.98,9.83,26.56,0.0,100.74,1.98,83.88,2.31,81.65,486.31
2020,1,6,16,35.0,14.04,24.51,9.95,28.5,0.0,100.76,2.09,88.07,2.57,86.68,258.0
2020,1,6,17,31.89,16.59,24.24,11.84,40.38,0.0,100.81,1.74,95.91,2.86,95.34,42.88
2020,1,6,18,29.94,16.46,23.2,11.72,44.56,0.0,100.9,2.03,99.32,3.38,98.11,0.0
2020,1,6,19,28.97,16.39,22.68,11.66,46.94,0.0,100.98,2.34,94.6,4.24,92.43,0.0
2020,1,6,20,28.29,16.65,22.47,11.84,49.56,0.0,101.04,2.71,86.53,5.35,84.89,0.0
2020,1,6,21,27.78,17.33,22.55,12.27,53.12,0.0,101.07,3.24,77.31,6.3,77.53,0.0
2020,1,6,22,27.23,18.31,22.77,13.06,58.12,0.0,101.07,3.56,72.12,6.46,73.78,0.0
2020,1,6,23,26.34,19.15,22.75,13.73,64.56,0.0,101.07,2.78,74.01,5.25,74.8,0.0
2020,1,7,0,25.52,19.59,22.55,14.16,69.69,0.0,101.05,1.92,82.04,3.77,79.48,0.0
2020,1,7,1,25.1,19.79,22.44,14.28,72.25,0.0,101.01,1.31,91.7,2.43,86.69,0.0
2020,1,7,2,24.69,19.87,22.29,14.4,74.44,0.0,100.98,0.73,104.18,1.24,99.46,0.0
2020,1,7,3,24.37,20.0,22.19,14.53,76.5,0.0,100.98,0.23,149.04,0.36,151.78,0.0
2020,1,7,4,24.12,20.06,22.08,14.59,78.0,0.0,100.99,0.43,248.59,0.74,245.61,0.0
2020,1,7,5,23.83,20.12,21.98,14.59,79.62,0.0,101.04,0.75,269.4,1.25,265.0,0.0
2020,1,7,6,23.88,20.25,22.07,14.71,80.0,0.0,101.12,1.04,286.66,1.65,283.38,18.15
2020,1,7,7,26.25,20.17,23.21,14.65,69.12,0.0,101.19,0.75,311.19,0.56,315.57,188.79
2020,1,7,8,29.3,19.72,24.51,14.22,56.25,0.0,101.25,0.59,116.91,0.88,120.44,414.12
2020,1,7,9,32.01,19.16,25.58,13.73,46.56,0.0,101.23,1.18,121.48,1.45,120.43,607.13
2020,1,7,10,33.78,18.85,26.32,13.49,41.38,0.0,101.18,1.44,113.08,1.71,111.66,749.91
2020,1,7,11,35.02,18.71,26.87,13.37,38.25,0.0,101.06,1.54,109.26,1.83,107.66,789.18
2020,1,7,12,35.92,18.45,27.19,13.18,35.81,0.0,100.9,1.55,110.08,1.81,107.89,718.4
2020,1,7,13,36.38,18.23,27.31,13.0,34.44,0.0,100.76,1.57,112.49,1.83,109.21,562.3
2020,1,7,14,36.35,18.14,27.24,12.94,34.31,0.0,100.67,1.72,114.36,1.97,111.67,436.6
2020,1,7,15,35.48,18.23,26.86,13.0,36.19,0.0,100.66,2.08,113.48,2.37,111.84,290.0
2020,1,7,16,34.48,18.48,26.48,13.24,38.81,0.0,100.71,2.36,112.75,2.84,112.47,153.1
2020,1,7,17,32.46,20.11,26.28,14.71,48.38,0.0,100.78,1.75,112.56,3.28,112.84,32.43
2020,1,7,18,31.23,20.19,25.71,14.77,52.06,0.0,100.87,1.75,110.38,3.55,108.99,0.0
2020,1,7,19,30.61,20.22,25.41,14.77,54.0,0.0,100.96,1.73,103.03,3.53,101.61,0.0
2020,1,7,20,29.89,20.36,25.12,14.89,56.75,0.0,101.02,1.62,96.65,3.41,96.59,0.0
2020,1,7,21,29.21,20.58,24.9,15.08,59.81,0.0,101.06,1.37,97.85,2.96,98.96,0.0
2020,1,7,22,28.53,20.84,24.69,15.32,63.19,0.0,101.07,1.11,110.98,2.29,111.66,0.0
2020,1,7,23,27.98,21.05,24.51,15.5,66.0,0.0,101.08,1.03,138.69,1.85,140.32,0.0
2020,1,8,0,27.46,21.26,24.36,15.69,69.0,0.0,101.06,1.22,170.78,1.76,169.54,0.0
2020,1,8,1,26.98,21.48,24.23,15.93,71.88,0.0,101.03,1.03,184.37,1.36,180.99,0.0
2020,1,8,2,26.55,21.58,24.07,16.05,74.19,0.0,101.0,0.37,178.78,0.6,167.96,0.0
2020,1,8,3,26.11,21.59,23.85,16.05,76.12,0.0,101.0,0.4,70.5,0.82,70.02,0.0
2020,1,8,4,25.84,21.49,23.66,15.93,76.94,0.0,101.01,0.69,36.22,1.52,41.66,0.0
2020,1,8,5,25.53,21.3,23.41,15.75,77.5,0.0,101.06,1.18,25.55,2.37,30.96,0.0
2020,1,8,6,25.65,21.06,23.36,15.5,75.88,0.0,101.13,1.89,31.65,3.07,32.11,13.95
2020,1,8,7,27.45,20.58,24.01,15.01,66.19,0.0,101.22,2.87,45.44,3.44,47.95,139.05
2020,1,8,8,29.69,19.95,24.82,14.47,55.94,0.0,101.28,3.25,67.25,3.79,69.62,311.54
2020,1,8,9,32.1,19.56,25.83,14.1,47.56,0.0,101.26,3.39,86.83,3.94,88.18,537.35
2020,1,8,10,33.96,19.31,26.64,13.92,42.19,0.0,101.19,3.46,98.04,4.02,97.93,703.09
2020,1,8,11,35.45,19.04,27.24,13.67,38.19,0.0,101.05,3.35,101.28,3.93,100.3,756.81
2020,1,8,12,36.56,18.58,27.57,13.31,34.88,0.0,100.86,3.16,99.67,3.74,98.4,680.09
2020,1,8,13,37.23,17.92,27.58,12.76,32.25,0.0,100.69,3.11,95.19,3.69,93.89,541.39
2020,1,8,14,37.45,17.26,27.36,12.27,30.56,0.0,100.59,3.14,89.0,3.75,87.97,432.3
2020,1,8,15,37.15,16.73,26.94,11.84,30.0,0.0,100.56,3.23,83.2,3.88,82.49,307.38
2020,1,8,16,35.94,16.83,26.39,11.96,32.31,0.0,100.58,3.03,75.5,3.89,75.68,146.15
2020,1,8,17,33.47,19.01,26.24,13.79,42.88,0.0,100.65,2.0,69.65,3.77,69.35,34.41
2020,1,8,18,32.06,19.21,25.63,13.92,46.88,0.0,100.74,2.13,66.72,4.24,64.9,0.0
2020,1,8,19,31.46,19.34,25.4,14.04,48.81,0.0,100.85,2.84,63.36,5.12,63.83,0.0
2020,1,8,20,30.65,19.83,25.24,14.4,52.56,0.0,100.92,3.24,61.95,5.26,64.96,0.0
2020,1,8,21,29.67,20.58,25.12,15.08,58.19,0.0,100.97,2.8,62.79,4.5,66.78,0.0
2020,1,8,22,28.98,21.13,25.05,15.56,62.62,0.0,100.99,2.01,67.62,3.33,70.8,0.0
2020,1,8,23,28.4,21.28,24.84,15.75,65.31,0.0,100.99,1.35,73.87,2.58,70.91,0.0
2020,1,9,0,27.97,21.22,24.59,15.69,66.75,0.0,100.98,1.26,69.32,2.51,65.51,0.0
2020,1,9,1,27.55,21.17,24.37,15.62,68.19,0.0,100.94,1.26,58.98,2.44,57.18,0.0
2020,1,9,2,27.09,21.08,24.08,15.56,69.62,0.0,100.9,1.36,50.36,2.6,50.96,0.0
2020,1,9,3,26.56,20.84,23.7,15.32,70.81,0.0,100.9,1.59,46.99,3.07,49.22,0.0
2020,1,9,4,26.01,20.45,23.23,14.95,71.44,0.0,100.91,2.08,52.01,3.81,53.77,0.0
2020,1,9,5,25.57,20.23,22.9,14.71,72.25,0.0,100.95,2.16,51.76,3.8,52.52,0.0
2020,1,9,6,25.57,20.15,22.87,14.65,71.94,0.0,101.01,2.18,47.46,3.56,48.29,17.53
2020,1,9,7,27.37,19.45,23.4,14.04,61.94,0.0,101.09,3.38,57.74,4.17,60.6,191.15
2020,1,9,8,29.65,18.51,24.08,13.18,51.12,0.0,101.14,3.72,69.09,4.39,70.79,424.05
2020,1,9,9,32.34,17.8,25.07,12.63,41.94,0.0,101.12,3.48,74.9,4.05,76.18,621.55
2020,1,9,10,34.82,17.23,26.03,12.21,35.25,0.0,101.06,3.39,76.0,3.93,76.68,771.35
2020,1,9,11,36.5,17.06,26.78,12.08,31.81,0.0,100.94,3.33,74.2,3.89,74.04,862.12
2020,1,9,12,37.56,16.9,27.23,11.96,29.69,0.0,100.78,3.22,72.8,3.79,72.12,872.53
2020,1,9,13,37.94,16.69,27.31,11.78,28.69,0.0,100.64,3.09,72.02,3.65,70.91,782.81
2020,1,9,14,37.67,16.44,27.05,11.66,28.69,0.0,100.55,3.03,71.38,3.61,70.11,644.69
2020,1,9,15,37.08,16.23,26.65,11.47,29.25,0.0,100.54,3.1,71.47,3.71,70.19,439.48
2020,1,9,16,36.12,16.12,26.12,11.41,30.62,0.0,100.56,3.12,73.88,3.86,72.81,225.53
2020,1,9,17,33.79,17.84,25.81,12.82,39.19,0.0,100.62,2.26,80.05,4.09,80.21,36.09
2020,1,9,18,32.28,17.83,25.06,12.82,42.5,0.0,100.71,2.54,87.18,4.76,87.09,0.0
2020,1,9,19,31.43,17.94,24.69,12.82,44.75,0.02,100.83,3.06,88.68,5.22,93.09,0.0
2020,1,9,20,30.08,18.59,24.33,13.31,50.19,0.05,100.91,2.89,94.97,5.45,98.73,0.0
2020,1,9,21,28.74,19.6,24.17,14.16,57.75,0.07,100.95,2.49,106.79,5.07,107.6,0.0
2020,1,9,22,27.7,20.45,24.08,14.95,64.62,0.1,100.97,2.18,128.15,4.35,126.23,0.0
2020,1,9,23,26.83,21.05,23.94,15.5,70.56,0.1,100.96,2.3,150.21,4.24,148.42,0.0
2020,1,10,0,26.01,21.48,23.74,15.93,76.06,0.07,100.94,2.49,169.89,4.45,168.45,0.0
2020,1,10,1,25.25,21.79,23.51,16.24,81.06,0.05,100.91,2.39,182.25,4.36,181.44,0.0
2020,1,10,2,24.73,22.01,23.37,16.48,84.81,0.01,100.89,2.01,189.83,3.77,189.17,0.0
2020,1,10,3,24.34,22.15,23.25,16.6,87.5,0.0,100.89,1.41,195.73,2.77,196.03,0.0
2020,1,10,4,24.08,22.17,23.12,16.6,88.94,0.0,100.92,0.87,204.27,1.68,207.16,0.0
2020,1,10,5,24.02,22.05,23.04,16.48,88.62,0.0,100.98,0.38,230.04,0.68,233.39,0.0
2020,1,10,6,24.14,22.06,23.1,16.48,88.06,0.0,101.06,0.48,352.53,0.7,356.14,16.52
2020,1,10,7,25.89,21.41,23.65,15.81,76.25,0.0,101.13,1.57,26.31,1.8,28.45,184.68
2020,1,10,8,28.8,19.3,24.05,13.92,56.56,0.0,101.16,2.49,42.2,2.77,43.86,414.1
2020,1,10,9,31.55,17.73,24.64,12.63,43.88,0.0,101.12,2.86,50.53,3.19,50.86,611.82
2020,1,10,10,33.76,17.04,25.4,12.08,37.0,0.0,101.05,3.25,49.29,3.69,48.78,706.16
2020,1,10,11,35.51,16.64,26.08,11.78,32.69,0.0,100.93,3.55,44.55,4.08,44.07,761.72
2020,1,10,12,36.73,16.36,26.55,11.54,30.0,0.0,100.77,3.68,40.87,4.25,40.6,772.48
2020,1,10,13,37.31,16.3,26.8,11.54,28.94,0.0,100.61,3.67,39.48,4.28,39.3,722.41
2020,1,10,14,37.3,16.32,26.81,11.54,29.0,0.0,100.51,3.63,40.55,4.26,40.38,590.63
2020,1,10,15,36.91,16.32,26.62,11.54,29.62,0.0,100.47,3.67,43.96,4.34,43.69,396.13
2020,1,10,16,35.79,16.41,26.1,11.6,31.69,0.01,100.49,3.53,47.96,4.36,47.47,213.02
2020,1,10,17,33.14,17.75,25.44,12.7,40.06,0.01,100.55,2.3,54.26,4.39,54.5,37.88
2020,1,10,18,31.53,18.37,24.95,13.18,45.62,0.03,100.64,2.4,64.1,4.79,63.98,0.0
2020,1,10,19,30.77,18.82,24.8,13.49,48.94,0.0,100.74,2.68,71.99,5.37,71.96,0.0
2020,1,10,20,30.09,18.63,24.37,13.37,50.25,0.01,100.83,3.15,77.1,5.72,77.37,0.0
2020,1,10,21,29.06,18.84,23.95,13.49,54.06,0.02,100.88,2.92,84.17,5.28,85.17,0.0
2020,1,10,22,28.0,19.32,23.65,13.92,59.19,0.03,100.9,2.3,100.36,4.81,101.24,0.0
2020,1,10,23,27.3,19.76,23.53,14.34,63.44,0.04,100.9,2.45,122.88,4.99,121.18,0.0
2020,1,11,0,26.63,20.35,23.49,14.83,68.44,0.04,100.87,2.93,146.99,5.17,144.6,0.0
2020,1,11,1,26.02,21.03,23.53,15.5,74.0,0.04,100.85,3.46,165.87,5.56,164.52,0.0
